SAM3	S000006195	amino acid transport	GO:0006865
ATP17	S000002785	mitochondrion	GO:0005739
BMH1	S000000979	membrane	GO:0016020
UTP7	S000000884	molecular function	GO:0003674
IOC3	S000001909	ATPase activity	GO:0016887
NTH2	S000000205	mitochondrion	GO:0005739
GPI17	S000002842	cytoplasm	GO:0005737
MMS4	S000000302	regulation of DNA metabolic process	GO:0051052
RSC4	S000001716	histone binding	GO:0042393
REV1	S000005873	chromosome	GO:0005694
SEC4	S000001889	vesicle organization	GO:0016050
MPA43	S000005193	biological process	GO:0008150
FPR4	S000004441	nucleus	GO:0005634
ATO2	S000005285	ion transport	GO:0006811
FUN30	S000000017	cellular response to DNA damage stimulus	GO:0006974
SNR43	S000006503	RNA modification	GO:0009451
VPS45	S000003063	vacuole organization	GO:0007033
MPE1	S000001542	nucleus	GO:0005634
MPA43	S000005193	mitochondrion	GO:0005739
SNT2	S000003099	response to oxidative stress	GO:0006979
RPB9	S000003038	nucleotidyltransferase activity	GO:0016779
TAF1	S000003506	structural molecule activity	GO:0005198
MLH1	S000004777	DNA repair	GO:0006281
VMA10	S000002100	vacuole	GO:0005773
RPA135	S000006214	nucleotidyltransferase activity	GO:0016779
TAF10	S000002574	nucleic acid binding transcription factor activity	GO:0001071
YER138C	S000000940	hydrolase activity	GO:0016787
YDR365W-B	S000007401	peptidase activity	GO:0008233
DDI1	S000000945	small conjugating protein binding	GO:0032182
YPR096C	S000006300	molecular function	GO:0003674
EFM1	S000001031	protein alkylation	GO:0008213
TIM22	S000002376	mitochondrion organization	GO:0007005
SAL1	S000005027	ion transport	GO:0006811
VID30	S000003196	proteolysis involved in cellular protein catabolic process	GO:0051603
LOH1	S000003575	sporulation	GO:0043934
YCK1	S000001177	plasma membrane	GO:0005886
SUL1	S000000498	plasma membrane	GO:0005886
PMT7	S000002715	biological process	GO:0008150
FRS2	S000001872	tRNA aminoacylation for protein translation	GO:0006418
RPT4	S000005785	hydrolase activity	GO:0016787
tD(GUC)O	S000006545	cytoplasm	GO:0005737
VBA4	S000002526	membrane	GO:0016020
SNR78	S000007312	rRNA processing	GO:0006364
SNR85	S000081376	RNA modification guide activity	GO:0030555
YOR387C	S000005914	biological process	GO:0008150
REP2	S000029676	molecular function	GO:0003674
SSB1	S000002388	response to starvation	GO:0042594
YIL177C	S000001439	cellular component	GO:0005575
YBR013C	S000000217	molecular function	GO:0003674
SPA2	S000003944	cell budding	GO:0007114
RIF1	S000000479	DNA repair	GO:0006281
COQ6	S000003487	cofactor metabolic process	GO:0051186
PCL2	S000002285	regulation of cell cycle	GO:0051726
XBP1	S000001363	cytoplasm	GO:0005737
PDX3	S000000239	cytoplasm	GO:0005737
RSC9	S000004596	chromatin organization	GO:0006325
SHE1	S000000127	nucleus	GO:0005634
CPA2	S000003870	cytoplasm	GO:0005737
YDL218W	S000002377	biological process	GO:0008150
MFA2	S000005089	conjugation	GO:0000746
TAF5	S000000402	structural molecule activity	GO:0005198
DAD4	S000007604	chromosome segregation	GO:0007059
HMX1	S000004195	cellular ion homeostasis	GO:0006873
MIX14	S000002438	molecular function	GO:0003674
SRC1	S000004497	organelle fission	GO:0048285
SFH1	S000004313	chromosome segregation	GO:0007059
YNL024C	S000004969	biological process	GO:0008150
CRZ1	S000004972	regulation of transport	GO:0051049
RPS3	S000005122	cytoplasm	GO:0005737
HIS1	S000000857	transferase activity, transferring glycosyl groups	GO:0016757
VMA1	S000002344	hydrolase activity	GO:0016787
TDH1	S000003588	mitochondrion	GO:0005739
APS3	S000003561	cytoplasm	GO:0005737
VBA5	S000001813	ion transport	GO:0006811
STE11	S000004354	conjugation	GO:0000746
YCL001W-B	S000007596	biological process	GO:0008150
DPM1	S000006387	mitochondrion	GO:0005739
PPH3	S000002482	regulation of DNA metabolic process	GO:0051052
MVB12	S000003438	small conjugating protein binding	GO:0032182
SEC18	S000000284	response to starvation	GO:0042594
SLD3	S000003081	cellular response to DNA damage stimulus	GO:0006974
SNR62	S000006453	rRNA binding	GO:0019843
SNR17B	S000007441	rRNA binding	GO:0019843
UFD1	S000003280	response to chemical	GO:0042221
PPM2	S000005501	methyltransferase activity	GO:0008168
ARG82	S000002580	nucleus	GO:0005634
SAM37	S000004664	mitochondrion	GO:0005739
KTR7	S000001347	transferase activity	GO:0016740
ATG34	S000005443	protein complex biogenesis	GO:0070271
BRL1	S000001078	nucleus organization	GO:0006997
UBA3	S000006270	protein modification by small protein conjugation or removal	GO:0070647
CYB5	S000005055	cytoplasm	GO:0005737
LIP5	S000005722	transferase activity	GO:0016740
ATF2	S000003409	endoplasmic reticulum	GO:0005783
ATG10	S000003965	response to starvation	GO:0042594
MIM2	S000007618	cytoplasm	GO:0005737
SMP3	S000005675	protein lipidation	GO:0006497
FUS1	S000000532	membrane	GO:0016020
GIS2	S000005199	regulation of translation	GO:0006417
ABD1	S000000440	transcription from RNA polymerase II promoter	GO:0006366
KIN2	S000004086	plasma membrane	GO:0005886
NUP2	S000004327	nucleus organization	GO:0006997
YAL063C-A	S000028813	molecular function	GO:0003674
RPL4B	S000002419	ribosome	GO:0005840
RAD1	S000005943	DNA binding	GO:0003677
BNI1	S000005215	plasma membrane	GO:0005886
MRPL32	S000000596	mitochondrion	GO:0005739
SOF1	S000003934	RNA binding	GO:0003723
BRR2	S000000974	RNA splicing	GO:0008380
YPP1	S000003430	ribosome	GO:0005840
ICL1	S000000867	monocarboxylic acid metabolic process	GO:0032787
YHR020W	S000001062	ribosome	GO:0005840
YER038W-A	S000028746	cytoplasm	GO:0005737
TEF2	S000000322	nuclear transport	GO:0051169
NOP9	S000003547	rRNA processing	GO:0006364
ALG9	S000005163	transferase activity, transferring glycosyl groups	GO:0016757
SYP1	S000000626	membrane	GO:0016020
AFR1	S000002492	response to chemical	GO:0042221
SSP2	S000005768	cell wall	GO:0005618
YPK1	S000001609	regulation of transport	GO:0051049
VAM7	S000003180	vesicle organization	GO:0016050
PRP9	S000002188	RNA binding	GO:0003723
MDJ1	S000001878	membrane	GO:0016020
FLO1	S000000084	response to chemical	GO:0042221
SNR52	S000006443	RNA modification guide activity	GO:0030555
GAS4	S000005492	transferase activity	GO:0016740
YMR252C	S000004865	cytoplasm	GO:0005737
ARB1	S000000838	nucleus	GO:0005634
RAD33	S000004472	DNA repair	GO:0006281
NOP53	S000006067	nuclear transport	GO:0051169
ARP2	S000002187	meiotic cell cycle	GO:0051321
ACS2	S000004143	cytoplasm	GO:0005737
SNF2	S000005816	regulation of DNA metabolic process	GO:0051052
PKP1	S000001304	mitochondrion	GO:0005739
RFC2	S000003829	cellular response to DNA damage stimulus	GO:0006974
SNR13	S000006498	rRNA binding	GO:0019843
RSC4	S000001716	transcription from RNA polymerase II promoter	GO:0006366
YOR192C-B	S000007354	nucleus	GO:0005634
FLO1	S000000084	response to oxidative stress	GO:0006979
LYS21	S000002289	transferase activity	GO:0016740
TPC1	S000003328	cytoplasm	GO:0005737
DCV1	S000001908	membrane	GO:0016020
CDC3	S000004306	cytoskeleton	GO:0005856
VPS35	S000003690	endosomal transport	GO:0016197
ADE4	S000004915	nucleobase-containing small molecule metabolic process	GO:0055086
SHG1	S000000462	protein alkylation	GO:0008213
MCM4	S000006223	cellular response to DNA damage stimulus	GO:0006974
RAD4	S000000964	cytoplasm	GO:0005737
GTR2	S000003395	cytoplasm	GO:0005737
HEL1	S000001725	transferase activity	GO:0016740
GTR1	S000004590	membrane	GO:0016020
SVL3	S000005953	endocytosis	GO:0006897
AIR1	S000001341	nucleotidyltransferase activity	GO:0016779
PDR17	S000005208	lipid transport	GO:0006869
REH1	S000004379	cell budding	GO:0007114
BUD32	S000003494	hydrolase activity	GO:0016787
PTC3	S000000152	cytoplasm	GO:0005737
YDR541C	S000002949	cellular component	GO:0005575
IDS2	S000003682	organelle fission	GO:0048285
DGR2	S000001604	molecular function	GO:0003674
YNR048W	S000005331	cytoplasm	GO:0005737
PRE8	S000004557	membrane	GO:0016020
PAC10	S000003310	cytoplasm	GO:0005737
SEN54	S000006004	tRNA processing	GO:0008033
MCT1	S000005747	generation of precursor metabolites and energy	GO:0006091
SMD2	S000004265	RNA splicing	GO:0008380
TTI2	S000003897	cytoplasm	GO:0005737
SNO4	S000004941	cellular component	GO:0005575
SNR79	S000007313	rRNA processing	GO:0006364
LSO1	S000028523	biological process	GO:0008150
YCR051W	S000000647	nucleus	GO:0005634
VPH2	S000001602	molecular function	GO:0003674
RIM21	S000005238	membrane	GO:0016020
RAX2	S000004074	cytokinesis	GO:0000910
GFD2	S000000541	biological process	GO:0008150
VEL1	S000003227	cytoplasm	GO:0005737
DAD2	S000001791	nucleus	GO:0005634
GCN5	S000003484	histone modification	GO:0016570
UBP16	S000005993	mitochondrion	GO:0005739
MRPL6	S000001190	mitochondrion	GO:0005739
NUP84	S000002274	structural molecule activity	GO:0005198
YPR153W	S000006357	molecular function	GO:0003674
ZRT1	S000003224	plasma membrane	GO:0005886
SNR58	S000006449	RNA modification guide activity	GO:0030555
DLS1	S000003601	nucleus	GO:0005634
THI22	S000006325	vitamin metabolic process	GO:0006766
CEP3	S000004778	protein complex biogenesis	GO:0070271
HCR1	S000004182	rRNA processing	GO:0006364
IMD4	S000004520	RNA binding	GO:0003723
CIK1	S000004811	microtubule organizing center	GO:0005815
SLP1	S000005680	membrane	GO:0016020
RIB2	S000005427	isomerase activity	GO:0016853
RPG1	S000000283	translation factor activity, nucleic acid binding	GO:0008135
SBH1	S000002128	membrane	GO:0016020
MCM4	S000006223	helicase activity	GO:0004386
HRT3	S000004087	protein binding, bridging	GO:0030674
PEX2	S000003746	protein modification by small protein conjugation or removal	GO:0070647
GLC7	S000000935	cellular response to DNA damage stimulus	GO:0006974
YMR310C	S000004927	transferase activity	GO:0016740
RVB1	S000002598	chromosome	GO:0005694
GVP36	S000001303	membrane	GO:0016020
ATG9	S000002308	protein complex biogenesis	GO:0070271
RPT1	S000001628	ATPase activity	GO:0016887
URA2	S000003666	cytoplasm	GO:0005737
PDB1	S000000425	cytoplasm	GO:0005737
IDS2	S000003682	meiotic cell cycle	GO:0051321
AGP1	S000000530	amino acid transport	GO:0006865
MDM30	S000004360	proteolysis involved in cellular protein catabolic process	GO:0051603
ULP2	S000001293	peptidase activity	GO:0008233
PCA1	S000000499	ion transport	GO:0006811
PET122	S000000955	regulation of organelle organization	GO:0033043
TSA1	S000004490	cellular response to DNA damage stimulus	GO:0006974
VPS9	S000004563	endosomal transport	GO:0016197
ERT1	S000000443	cytoplasm	GO:0005737
PUN1	S000004406	cell wall organization or biogenesis	GO:0071554
PPH22	S000002347	regulation of translation	GO:0006417
tG(GCC)P1	S000006588	cytoplasm	GO:0005737
IMD2	S000001259	chromosome	GO:0005694
RSA1	S000006114	organelle assembly	GO:0070925
YHL044W	S000001036	membrane	GO:0016020
CIN4	S000004746	protein folding	GO:0006457
HSP12	S000001880	response to osmotic stress	GO:0006970
APA2	S000002938	nucleus	GO:0005634
FUN12	S000000033	rRNA processing	GO:0006364
YPC1	S000000387	lipid metabolic process	GO:0006629
SUB1	S000004642	response to osmotic stress	GO:0006970
DPL1	S000002702	lipid metabolic process	GO:0006629
TYW3	S000003018	transferase activity	GO:0016740
YNL046W	S000004991	cytoplasm	GO:0005737
DAD2	S000001791	cytoskeletal protein binding	GO:0008092
ARB1	S000000838	ribosomal subunit export from nucleus	GO:0000054
PWP2	S000000653	mRNA binding	GO:0003729
SHS1	S000002384	cytoskeleton organization	GO:0007010
tA(AGC)G	S000006512	translational elongation	GO:0006414
MSS18	S000006338	cytoplasm	GO:0005737
UBP12	S000003733	biological process	GO:0008150
HRB1	S000004949	RNA catabolic process	GO:0006401
GON7	S000003720	DNA binding	GO:0003677
PHR1	S000005913	DNA repair	GO:0006281
SNC1	S000000028	organelle fusion	GO:0048284
CEP3	S000004778	regulation of organelle organization	GO:0033043
EPT1	S000001165	membrane	GO:0016020
CDC28	S000000364	peptidyl-amino acid modification	GO:0018193
VIK1	S000006174	cytoskeletal protein binding	GO:0008092
YMR226C	S000004839	nucleus	GO:0005634
KAP122	S000002984	nucleus	GO:0005634
NAM2	S000004374	RNA splicing	GO:0008380
YHR078W	S000001120	membrane	GO:0016020
ADF1	S000028518	conjugation	GO:0000746
MNN10	S000002653	membrane	GO:0016020
RAS2	S000005042	GTPase activity	GO:0003924
PRP5	S000000441	ATPase activity	GO:0016887
PTK2	S000003820	kinase activity	GO:0016301
UTR4	S000000764	nucleus	GO:0005634
YML037C	S000004501	molecular function	GO:0003674
SPO16	S000001196	organelle fission	GO:0048285
RSM23	S000003097	mitochondrion	GO:0005739
RPS16B	S000002241	cytoplasm	GO:0005737
AEP2	S000004895	mitochondrion	GO:0005739
SPR28	S000002626	cytoskeleton	GO:0005856
PHO8	S000002889	membrane	GO:0016020
TAE1	S000000465	peptidyl-amino acid modification	GO:0018193
SOG2	S000005880	signaling	GO:0023052
CLB2	S000006323	enzyme regulator activity	GO:0030234
PRX1	S000000160	cytoplasm	GO:0005737
HYR1	S000001476	response to chemical	GO:0042221
RRP43	S000000631	molecular function	GO:0003674
MLS1	S000005061	transferase activity	GO:0016740
EMI1	S000002920	sporulation	GO:0043934
AIM18	S000001241	molecular function	GO:0003674
TIM12	S000000295	protein transporter activity	GO:0008565
MRPS28	S000002745	mitochondrion	GO:0005739
SWI4	S000000913	mitotic cell cycle	GO:0000278
ERG20	S000003703	lipid metabolic process	GO:0006629
BET1	S000001266	vesicle organization	GO:0016050
SET2	S000003704	meiotic cell cycle	GO:0051321
CHS1	S000005136	membrane	GO:0016020
SCP160	S000003616	mRNA binding	GO:0003729
OCA1	S000005043	phosphatase activity	GO:0016791
LYS12	S000001356	oxidoreductase activity	GO:0016491
SIR3	S000004434	chromatin binding	GO:0003682
CSM2	S000001394	chromosome segregation	GO:0007059
PET111	S000004870	regulation of organelle organization	GO:0033043
MRPL15	S000004304	cytoplasm	GO:0005737
SEM1	S000007235	proteolysis involved in cellular protein catabolic process	GO:0051603
MSH1	S000001162	DNA binding	GO:0003677
YER010C	S000000812	cellular component	GO:0005575
YCL075W	S000000580	nucleus	GO:0005634
ECO1	S000001923	regulation of cell cycle	GO:0051726
SRL1	S000005773	molecular function	GO:0003674
PPH21	S000002292	cell budding	GO:0007114
GEX1	S000000575	ion transport	GO:0006811
MLP1	S000001803	membrane	GO:0016020
PWP2	S000000653	cytoplasm	GO:0005737
YAF9	S000005051	molecular function	GO:0003674
GCN2	S000002691	ribosome	GO:0005840
TOS4	S000004173	chromosome	GO:0005694
HSP10	S000005546	protein targeting	GO:0006605
TAF12	S000002552	nucleus	GO:0005634
MAL32	S000000503	oligosaccharide metabolic process	GO:0009311
MND2	S000001464	proteolysis involved in cellular protein catabolic process	GO:0051603
COX13	S000003159	enzyme regulator activity	GO:0030234
IXR1	S000001515	chromosome	GO:0005694
PET100	S000002486	protein complex biogenesis	GO:0070271
QRI7	S000002262	molecular function	GO:0003674
PCC1	S000028512	DNA binding	GO:0003677
RRP1	S000002494	rRNA processing	GO:0006364
MSN1	S000005476	response to chemical	GO:0042221
VPS45	S000003063	cellular ion homeostasis	GO:0006873
ATP18	S000007247	transmembrane transporter activity	GO:0022857
SET1	S000001161	meiotic cell cycle	GO:0051321
SWF1	S000002533	organelle fusion	GO:0048284
UBP14	S000000262	peptidase activity	GO:0008233
tE(UUC)J	S000006557	RNA binding	GO:0003723
DCC1	S000000521	mitotic cell cycle	GO:0000278
YBL095W	S000000191	molecular function	GO:0003674
PLP2	S000005807	response to chemical	GO:0042221
BOI1	S000000181	cytokinesis	GO:0000910
ALK2	S000000105	meiotic cell cycle	GO:0051321
YHR086W-A	S000028552	cellular component	GO:0005575
LCB5	S000004250	response to heat	GO:0009408
YER156C	S000000958	biological process	GO:0008150
tK(UUU)G2	S000006631	triplet codon-amino acid adaptor activity	GO:0030533
VTC1	S000000874	mRNA binding	GO:0003729
HSF1	S000003041	response to heat	GO:0009408
IRC6	S000001939	molecular function	GO:0003674
NUD1	S000005900	microtubule organizing center	GO:0005815
LAP3	S000005183	cellular amino acid metabolic process	GO:0006520
MDJ1	S000001878	mitochondrion organization	GO:0007005
TUB4	S000004202	cytoskeleton organization	GO:0007010
UGO1	S000002878	mitochondrion organization	GO:0007005
SUF1	S000006592	cytoplasm	GO:0005737
YGR122W	S000003354	membrane	GO:0016020
BUB2	S000004659	mitotic cell cycle	GO:0000278
YNR021W	S000005304	molecular function	GO:0003674
RMD1	S000002159	molecular function	GO:0003674
YDR261C-D	S000007395	nuclease activity	GO:0004518
MND1	S000003151	organelle fission	GO:0048285
TFB6	S000005879	biological process	GO:0008150
VPS53	S000003566	cytoplasm	GO:0005737
ISW1	S000000449	transcription from RNA polymerase II promoter	GO:0006366
YLR227W-B	S000007376	hydrolase activity	GO:0016787
YLR283W	S000004273	cytoplasm	GO:0005737
YET3	S000002230	cytoplasm	GO:0005737
DSL1	S000005202	nucleus	GO:0005634
DST1	S000003011	nucleus	GO:0005634
FAA1	S000005844	ligase activity	GO:0016874
TIM11	S000007255	structural molecule activity	GO:0005198
FUN30	S000000017	nucleus	GO:0005634
UBX3	S000002249	histone modification	GO:0016570
CDC24	S000000039	cytoplasm	GO:0005737
SKT5	S000000157	cytoskeleton	GO:0005856
SWI5	S000002553	regulation of DNA metabolic process	GO:0051052
YKR078W	S000001786	lipid binding	GO:0008289
YNL054W-B	S000007385	nuclease activity	GO:0004518
tG(GCC)D1	S000006576	triplet codon-amino acid adaptor activity	GO:0030533
CKA2	S000005587	kinase activity	GO:0016301
YMR244W	S000004858	molecular function	GO:0003674
JJJ1	S000005171	mitochondrion	GO:0005739
RTT102	S000003507	chromosome segregation	GO:0007059
COB	S000007270	nucleobase-containing small molecule metabolic process	GO:0055086
GLY1	S000000772	lyase activity	GO:0016829
KAR5	S000004669	endoplasmic reticulum	GO:0005783
MDH1	S000001568	generation of precursor metabolites and energy	GO:0006091
YOS1	S000007651	cytoplasm	GO:0005737
YSC84	S000001058	cytoskeleton	GO:0005856
RIM15	S000001861	response to starvation	GO:0042594
AXL2	S000001402	molecular function	GO:0003674
IZH3	S000004013	cytoplasm	GO:0005737
SIP5	S000004748	cytoplasm	GO:0005737
TCA17	S000000774	protein complex biogenesis	GO:0070271
FLO11	S000001458	membrane	GO:0016020
FMO1	S000001219	endoplasmic reticulum	GO:0005783
SNR73	S000007307	nucleus	GO:0005634
SEC72	S000004283	cytoplasm	GO:0005737
RSC30	S000001098	transcription from RNA polymerase II promoter	GO:0006366
NUP100	S000001551	structural molecule activity	GO:0005198
DCI1	S000005706	isomerase activity	GO:0016853
HLJ1	S000004771	enzyme regulator activity	GO:0030234
KIN3	S000000071	chromosome segregation	GO:0007059
CHZ1	S000000832	histone binding	GO:0042393
MND2	S000001464	protein modification by small protein conjugation or removal	GO:0070647
RPB7	S000002812	DNA binding	GO:0003677
RPS26A	S000003157	structural molecule activity	GO:0005198
NEW1	S000006147	ATPase activity	GO:0016887
RTC5	S000005644	cytoplasm	GO:0005737
RPB2	S000005677	transcription from RNA polymerase II promoter	GO:0006366
NFS1	S000000522	nucleus	GO:0005634
YIL171W	S000001433	biological process	GO:0008150
YPL077C	S000005998	cellular component	GO:0005575
HOS4	S000001374	histone modification	GO:0016570
MEC1	S000000340	DNA recombination	GO:0006310
YGL235W	S000003204	biological process	GO:0008150
MTC3	S000003195	biological process	GO:0008150
SNR53	S000006444	nucleus	GO:0005634
GND1	S000001226	oxidoreductase activity	GO:0016491
YGL039W	S000003007	cytoplasm	GO:0005737
MSC1	S000004597	organelle fission	GO:0048285
MPM1	S000003602	biological process	GO:0008150
NPT1	S000005735	cofactor metabolic process	GO:0051186
tI(GAU)Q	S000007322	cytoplasm	GO:0005737
YVH1	S000001465	signaling	GO:0023052
DSC3	S000005749	cytoplasm	GO:0005737
PUT4	S000005875	amino acid transport	GO:0006865
MET18	S000001390	molecular function	GO:0003674
APJ1	S000005021	cytoplasm	GO:0005737
SSL2	S000001405	DNA repair	GO:0006281
LCB4	S000005697	signaling	GO:0023052
AUA1	S000001955	amino acid transport	GO:0006865
MDM12	S000005369	mitochondrion	GO:0005739
BMH1	S000000979	DNA binding	GO:0003677
YOR343W-A	S000007355	nucleus	GO:0005634
NUP192	S000003576	nucleus organization	GO:0006997
MIF2	S000001572	nucleus	GO:0005634
YGR027W-B	S000007406	transposition	GO:0032196
PRK1	S000001357	regulation of transport	GO:0051049
UBP7	S000001418	cytoplasm	GO:0005737
CRM1	S000003450	nucleobase-containing compound transport	GO:0015931
GLE1	S000002366	membrane	GO:0016020
MRPL23	S000005676	structural molecule activity	GO:0005198
CBF5	S000004165	nucleus	GO:0005634
URA4	S000004412	cytoplasm	GO:0005737
ATF2	S000003409	response to chemical	GO:0042221
EFR3	S000004825	plasma membrane	GO:0005886
VPS41	S000002487	membrane	GO:0016020
MES1	S000003496	cellular amino acid metabolic process	GO:0006520
GPB1	S000005898	protein modification by small protein conjugation or removal	GO:0070647
MEP2	S000005086	ion transport	GO:0006811
BBP1	S000006176	structural molecule activity	GO:0005198
SWC3	S000000009	mitochondrion	GO:0005739
PMA1	S000002976	cytoplasm	GO:0005737
RTG3	S000000199	response to chemical	GO:0042221
YOL155W-A	S000028855	biological process	GO:0008150
SLD3	S000003081	nucleus	GO:0005634
MGE1	S000005758	cytoplasm	GO:0005737
AIP1	S000004698	cytoskeleton organization	GO:0007010
CDC73	S000004410	protein binding transcription factor activity	GO:0000988
ARB1	S000000838	ATPase activity	GO:0016887
PHO91	S000005296	membrane	GO:0016020
MSM1	S000003403	tRNA aminoacylation for protein translation	GO:0006418
NPR3	S000001015	molecular function	GO:0003674
MTR2	S000001669	nucleus	GO:0005634
MRPL20	S000001793	structural molecule activity	GO:0005198
UBC9	S000002222	chromosome	GO:0005694
PES4	S000001919	biological process	GO:0008150
VTI1	S000004810	vesicle organization	GO:0016050
PRI2	S000001528	nucleus	GO:0005634
DSK2	S000004889	protein complex biogenesis	GO:0070271
RIM15	S000001861	regulation of organelle organization	GO:0033043
CDC12	S000001149	lipid binding	GO:0008289
ALK1	S000002989	kinase activity	GO:0016301
SHS1	S000002384	membrane	GO:0016020
AKR1	S000002672	protein lipidation	GO:0006497
GYP6	S000003580	cytoplasm	GO:0005737
tG(GCC)D2	S000006577	translational elongation	GO:0006414
ERV46	S000000040	cytoplasmic membrane-bounded vesicle	GO:0016023
CTF13	S000004700	protein complex biogenesis	GO:0070271
SNR34	S000006500	nucleus	GO:0005634
YMR182W-A	S000028693	biological process	GO:0008150
PET122	S000000955	RNA binding	GO:0003723
MRC1	S000000566	DNA repair	GO:0006281
MPH1	S000001441	hydrolase activity	GO:0016787
TIS11	S000004126	cytoplasm	GO:0005737
MLP2	S000001411	regulation of transport	GO:0051049
DIG2	S000002888	response to chemical	GO:0042221
LPD1	S000001876	oxidoreductase activity	GO:0016491
ZTA1	S000000250	nucleus	GO:0005634
QNS1	S000001116	cytoplasm	GO:0005737
OST2	S000005629	cytoplasm	GO:0005737
CDC65	S000006690	RNA binding	GO:0003723
ANR2	S000001530	molecular function	GO:0003674
RAD3	S000000973	protein binding transcription factor activity	GO:0000988
EBP2	S000001655	rRNA processing	GO:0006364
TEF1	S000006284	nuclear transport	GO:0051169
BEM4	S000006082	molecular function	GO:0003674
RTC1	S000005498	vacuole	GO:0005773
SLD3	S000003081	chromosome	GO:0005694
PAM18	S000003998	membrane	GO:0016020
TFB1	S000002719	cytoplasm	GO:0005737
EFM1	S000001031	cytoplasm	GO:0005737
CWP1	S000001579	sporulation	GO:0043934
PYC2	S000000422	cytoplasm	GO:0005737
MF(ALPHA)2	S000003057	extracellular region	GO:0005576
ASM4	S000002246	ion binding	GO:0043167
HAA1	S000006212	nucleus	GO:0005634
OKP1	S000003411	chromosome	GO:0005694
COS12	S000003232	molecular function	GO:0003674
ZRG8	S000000835	molecular function	GO:0003674
BUG1	S000002257	molecular function	GO:0003674
PEX21	S000003471	protein targeting	GO:0006605
SMP3	S000005675	lipid metabolic process	GO:0006629
TAZ1	S000006344	cellular respiration	GO:0045333
KTI12	S000001593	tRNA processing	GO:0008033
REC102	S000004321	DNA recombination	GO:0006310
RPL21A	S000000395	ribosome	GO:0005840
YBL008W-A	S000028529	molecular function	GO:0003674
PWP1	S000004186	rRNA processing	GO:0006364
HXT7	S000002750	membrane	GO:0016020
PAF1	S000000483	cellular response to DNA damage stimulus	GO:0006974
SIP2	S000003176	signaling	GO:0023052
POL32	S000003804	DNA replication	GO:0006260
DBF20	S000006315	cytokinesis	GO:0000910
ENO2	S000001217	regulation of organelle organization	GO:0033043
MAG1	S000000944	cellular response to DNA damage stimulus	GO:0006974
POL31	S000003766	chromosome	GO:0005694
SNT1	S000000629	histone modification	GO:0016570
tS(AGA)L	S000006728	RNA binding	GO:0003723
WHI2	S000005569	endocytosis	GO:0006897
YNR066C	S000005349	molecular function	GO:0003674
SUF2	S000006678	triplet codon-amino acid adaptor activity	GO:0030533
CKS1	S000000339	regulation of cell cycle	GO:0051726
POL2	S000005206	chromosome	GO:0005694
BDF1	S000004391	chromosome	GO:0005694
MED11	S000004718	transcription from RNA polymerase II promoter	GO:0006366
TFC6	S000002770	nucleic acid binding transcription factor activity	GO:0001071
GLN4	S000005694	cytoplasm	GO:0005737
SHO1	S000000920	structural molecule activity	GO:0005198
THP1	S000005433	DNA binding	GO:0003677
BXI1	S000005249	cytoplasm	GO:0005737
SNR10	S000007499	nucleus	GO:0005634
FUS3	S000000112	site of polarized growth	GO:0030427
SUC4	S000029533	hydrolase activity	GO:0016787
PRE9	S000003367	molecular function	GO:0003674
MRP7	S000004950	mitochondrion organization	GO:0007005
ROD1	S000005544	regulation of transport	GO:0051049
SPT7	S000000285	chromatin organization	GO:0006325
KES1	S000006066	lipid binding	GO:0008289
ZRT1	S000003224	transmembrane transport	GO:0055085
YER053C-A	S000007523	biological process	GO:0008150
SEA4	S000000200	molecular function	GO:0003674
AST1	S000000165	molecular function	GO:0003674
SVP26	S000001224	cytoplasmic membrane-bounded vesicle	GO:0016023
FIT2	S000005909	molecular function	GO:0003674
OSW1	S000005781	meiotic cell cycle	GO:0051321
HIS7	S000000452	cellular amino acid metabolic process	GO:0006520
CDC33	S000005499	ion binding	GO:0043167
HXT6	S000002751	carbohydrate transport	GO:0008643
NUT1	S000003119	cytoplasm	GO:0005737
TAT2	S000005380	ion transport	GO:0006811
tD(GUC)G1	S000006532	cytoplasm	GO:0005737
TAD3	S000004308	nucleus	GO:0005634
SPN1	S000006337	nucleobase-containing compound transport	GO:0015931
YRF1-7	S000006204	helicase activity	GO:0004386
YDR161W	S000002568	molecular function	GO:0003674
PAN5	S000001105	oxidoreductase activity	GO:0016491
ATP3	S000000243	cytoplasm	GO:0005737
RCF1	S000004492	mitochondrion organization	GO:0007005
DSS4	S000006221	guanyl-nucleotide exchange factor activity	GO:0005085
MOT2	S000000870	cytoplasm	GO:0005737
SEC10	S000004156	Golgi vesicle transport	GO:0048193
ALF1	S000005092	cytoplasm	GO:0005737
tC(GCA)P1	S000006528	RNA binding	GO:0003723
YGL242C	S000003211	molecular function	GO:0003674
PRP39	S000004509	nucleus	GO:0005634
ALY1	S000001729	cytoplasm	GO:0005737
CBF2	S000003372	cytoskeleton	GO:0005856
tK(CUU)E1	S000006618	mitochondrion	GO:0005739
YBR238C	S000000442	mRNA binding	GO:0003729
YPP1	S000003430	cytoskeleton	GO:0005856
CNM67	S000005169	cytoskeleton	GO:0005856
SNR6	S000006494	RNA binding	GO:0003723
COA1	S000001419	protein complex biogenesis	GO:0070271
tE(UUC)E3	S000006552	RNA binding	GO:0003723
HEK2	S000000128	cytoplasm	GO:0005737
SPT14	S000006096	cytoplasm	GO:0005737
YDL027C	S000002185	cytoplasm	GO:0005737
TIM11	S000007255	mitochondrion	GO:0005739
